StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_6_TEXT,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q10,Q10_6_TEXT,Q11_1,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13_1,Q14,Q15,Q16,Q16_4_TEXT,Q17,Q18,Q18_7_TEXT,Q19,Q20,Q21,Q22,Q23,visit_frequency,spending_level,motivation_type
2025-11-11 05:33:48,2025-11-11 05:37:21,Survey Preview,,100,212,True,2025-11-11 05:37:22,R_65jhetytcwBlp8l,,,,,37.9684,-122.2896,preview,EN,Daily,"Starbucks,Peet’s Coffee",,Less than 6 months,Less than once a month,Midday (10 a.m.–2 p.m.),"Iced coffee drinks,Hot coffee drinks",$5–$9,Walk-up window,1,1,4,1,4,1,Friendly customer service,,2,1,2,3,4,5,6,8,Maybe,18-24 years old,Female,,94803,Working (paid employee),,"$50,000-$74,999",High school diploma or GED,Separated,White or Caucasian,"Adventurous,Social,Creative",1.0,2.0,2.0
2025-11-11 06:31:10,2025-11-11 06:42:47,IP Address,67.169.9.159,100,697,True,2025-11-11 06:42:48,R_6dEtgNLNdXx6RUk,,,,,37.9684,-122.2896,anonymous,EN,1–3 times per month,"Starbucks,Peet’s Coffee",,1–3 years,Less than once a month,Midday (10 a.m.–2 p.m.),Iced coffee drinks,$10–$14,Drive-thru,4,5,5,4,4,5,Friendly customer service,,5,5,6,3,4,1,2,4,Yes,35-44 years old,Female,,94803,Working (self-employed),,"$100,000-$149,999",Bachelor’s degree,Married,American Indian/Native American or Alaska Native,"Health-conscious,Adventurous,Creative",1.0,3.0,2.0
2025-11-11 06:48:57,2025-11-11 07:07:57,IP Address,67.169.9.159,100,1140,True,2025-11-11 07:07:58,R_5D7OTGjxKUEViWn,,,,,37.9684,-122.2896,anonymous,EN,Several times per week,"Starbucks,Peet’s Coffee",,3+ years,Less than once a month,Afternoon (2 p.m.–6 p.m.),"Blended drinks (Freeze, Frost etc.)",5,Walk-up window,4,4,3,2,3,4,Speed and convenience,,4,1,3,5,2,6,4,4,Yes,25-34 years old,Female,,94601,Working (paid employee),,"$75,000-$99,999",Associates or technical degree,Separated,American Indian/Native American or Alaska Native,"Social,Busy,Creative",1.0,,3.0
2025-11-11 11:32:26,2025-11-11 11:35:35,IP Address,69.216.98.93,100,189,True,2025-11-11 11:35:36,R_7EfJ0ykq4AXncYc,,,,,37.7794,-122.2178,anonymous,EN,Once a week,"Dutch Bros Coffee,Starbucks",,1–3 years,A few times per month,Midday (10 a.m.–2 p.m.),Iced coffee drinks,$10–$14,Drive-thru,5,5,4,1,5,2,Taste and quality of drinks,,5,,,4,6,2,5,5,Yes,25-34 years old,Male,,94601,Working (paid employee),,"$50,000-$74,999",Bachelor’s degree,Never Married,Prefer not to say,"Social,Relaxed",2.0,3.0,1.0
2025-11-11 11:36:46,2025-11-11 11:39:26,IP Address,172.59.130.251,100,159,True,2025-11-11 11:39:26,R_7qP3Djvv85xHrpp,,,,,37.7428,-122.1745,anonymous,EN,Once a week,"Dutch Bros Coffee,Starbucks,Local independent coffee shops",,3+ years,A few times per month,"Morning (6 a.m.–10 a.m.),Afternoon (2 p.m.–6 p.m.)","Iced coffee drinks,Energy drinks (Rebel line),Tea / Lemonade / Other non-coffee drinks",$5–$9,Mobile app order,5,5,5,5,5,5,Speed and convenience,,5,,,2,,,1,5,Yes,25-34 years old,Female,,94589,Working (paid employee),,"$75,000-$99,999",High school diploma or GED,Never Married,White or Caucasian,"Social,Relaxed",2.0,2.0,3.0
2025-11-11 11:36:15,2025-11-11 11:40:05,IP Address,136.152.214.109,100,229,True,2025-11-11 11:40:05,R_3c6PmtOi2gptaUh,,,,,37.8657,-122.2571,anonymous,EN,Daily,"Dutch Bros Coffee,Starbucks,Peet’s Coffee,Local independent coffee shops",,Less than 6 months,Less than once a month,Afternoon (2 p.m.–6 p.m.),"Blended drinks (Freeze, Frost etc.),Tea / Lemonade / Other non-coffee drinks",$5–$9,Drive-thru,5,3,5,3,3,5,Taste and quality of drinks,,5,3,4,2,6,5,1,5,Yes,18-24 years old,Female,,94803,Working (paid employee),,"Less than $25,000",High school diploma or GED,Never Married,Other,"Social,Busy,Creative",1.0,2.0,1.0
2025-11-11 11:42:24,2025-11-11 11:46:25,IP Address,146.75.154.184,100,240,True,2025-11-11 11:46:25,R_5llE5n0uL3l0VK8,,,,,37.7353,-121.4403,anonymous,EN,Once a week,"Dutch Bros Coffee,Starbucks",,1–3 years,A few times per month,Midday (10 a.m.–2 p.m.),Iced coffee drinks,$5–$9,Mobile app order,5,5,5,5,2,5,Taste and quality of drinks,,4,1,6,5,4,3,2,5,Yes,35-44 years old,Female,,95330,Working (paid employee),,Prefer not to say,High school diploma or GED,Married,Other,"Health-conscious,Relaxed,Trend-seeker",2.0,2.0,1.0
2025-11-11 11:41:41,2025-11-11 11:47:47,IP Address,76.191.187.1,100,366,True,2025-11-11 11:47:47,R_3KB0jtEE4hmCbGF,,,,,37.722,-122.1643,anonymous,EN,1–3 times per month,"Starbucks,Peet’s Coffee,Local independent coffee shops",,3+ years,Less than once a month,"Morning (6 a.m.–10 a.m.),Evening (6 p.m.–10 p.m.)","Hot coffee drinks,Tea / Lemonade / Other non-coffee drinks",$5–$9,Walk-up window,3,5,5,3,1,5,Taste and quality of drinks,,4,4,5,3,2,1,6,4,Yes,45-54 years old,Male,,94601,Working (self-employed),,"$75,000-$99,999","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Never Married,Other,"Adventurous,Busy,Relaxed",1.0,2.0,1.0
2025-11-12 14:19:58,2025-11-12 14:21:47,IP Address,50.213.53.49,100,109,True,2025-11-12 14:21:48,R_6ufE5byeN4kmlwJ,,,,,37.6844,-122.438,anonymous,EN,Never,Other (specify ______),Nescafe,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,25-34 years old,Female,,Hayward,Working (paid employee),,Prefer not to say,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Married,Asian,"Health-conscious,Adventurous,Busy",,,
2025-11-12 15:46:51,2025-11-12 15:50:00,IP Address,134.154.131.27,100,189,True,2025-11-12 15:50:01,R_1irSE6iDulUbLqn,,,,,37.6403,-122.0667,anonymous,EN,1–3 times per month,"Starbucks,Local independent coffee shops",,Less than 6 months,Less than once a month,Morning (6 a.m.–10 a.m.),"Iced coffee drinks,Hot coffee drinks,Tea / Lemonade / Other non-coffee drinks",Under $5,Drive-thru,0,2,4,5,0,4,Taste and quality of drinks,,2,2,1,3,4,6,5,4,Yes,18-24 years old,Female,,94541,Working (paid employee),,"$50,000-$74,999","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Never Married,Black or African American,"Health-conscious,Social,Busy",1.0,1.0,1.0
2025-11-12 16:56:37,2025-11-12 17:07:02,IP Address,174.249.146.85,100,624,True,2025-11-12 17:07:02,R_1sSbw9hr4EILwze,,,,,37.8229,-122.3713,anonymous,EN,1–3 times per month,Starbucks,,Less than 6 months,Less than once a month,Afternoon (2 p.m.–6 p.m.),"Blended drinks (Freeze, Frost etc.)",$5–$9,Drive-thru,,4,2,5,,5,Taste and quality of drinks,,5,2,6,4,5,1,3,2,Yes,Under 18,Male,,94803,Working (paid employee),,"Less than $25,000",Some high school or less,Never Married,Other,"Adventurous,Social,Relaxed",1.0,2.0,1.0
2025-11-13 17:31:57,2025-11-13 17:34:05,IP Address,134.154.62.249,100,127,True,2025-11-13 17:34:06,R_58BecwwSID7M1YI,,,,,37.6736,-122.0944,anonymous,EN,Daily,"Starbucks,Peet’s Coffee,Dunkin’",,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,35-44 years old,Male,,94542,Not working (looking for work),,"Less than $25,000","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Never Married,Asian,"Health-conscious,Social,Relaxed",,,
2025-11-13 20:20:36,2025-11-13 20:25:00,IP Address,172.59.161.254,100,263,True,2025-11-13 20:25:00,R_7Gs5om6yKBfmCcE,,,,,37.3209,-121.9126,anonymous,EN,Never,Starbucks,,Less than 6 months,Less than once a month,Midday (10 a.m.–2 p.m.),Iced coffee drinks,$5–$9,Drive-thru,5,5,4,3,5,5,Brand image / vibe,,2,4,3,2,1,6,5,0,Yes,25-34 years old,Female,,95136,Working (paid employee),,"Less than $25,000",Bachelor’s degree,Never Married,Other,"Health-conscious,Busy,Trend-seeker",1.0,2.0,4.0
2025-11-14 13:55:53,2025-11-14 14:02:29,IP Address,24.4.21.136,100,395,True,2025-11-14 14:02:30,R_5KxmenWdud5BLxz,,,,,37.5742,-122.325,anonymous,EN,Several times per week,"Local independent coffee shops,Other (specify ______)",Philz,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,25-34 years old,Female,,94526,Not working (other),student,Prefer not to say,Bachelor’s degree,Never Married,Asian,"Health-conscious,Creative,Relaxed",,,
2025-11-14 17:28:31,2025-11-14 17:31:23,IP Address,134.154.75.112,100,172,True,2025-11-14 17:31:24,R_3Lba4WNm8WYSNG0,,,,,37.6609,-122.0491,anonymous,EN,1–3 times per month,Starbucks,,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,18-24 years old,Female,,94542,Working (paid employee),,"Less than $25,000",Bachelor’s degree,Never Married,Asian,Busy,,,
2025-11-14 17:32:31,2025-11-14 17:33:58,IP Address,134.154.77.90,100,87,True,2025-11-14 17:33:59,R_7g4S9hCBTlsWH0N,,,,,37.7428,-122.1745,anonymous,EN,1–3 times per month,"Starbucks,Local independent coffee shops",,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,18-24 years old,Male,,94542,Working (paid employee),,"Less than $25,000",Bachelor’s degree,Never Married,Asian,Relaxed,,,
2025-11-14 19:55:18,2025-11-14 19:57:28,IP Address,67.169.44.107,100,130,True,2025-11-14 19:57:28,R_1mOgHBrzBPVLSFv,,,,,37.9959,-121.7011,anonymous,EN,1–3 times per month,Local independent coffee shops,,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,45-54 years old,Female,,94531,Working (paid employee),,"$150,000 or more","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Divorced,Other,Relaxed,,,
2025-11-14 22:23:47,2025-11-14 22:25:26,IP Address,73.158.65.116,100,99,True,2025-11-14 22:25:27,R_7Ug9EmSEGpK4rnC,,,,,37.5958,-122.0191,anonymous,EN,1–3 times per month,"Starbucks,Peet’s Coffee",,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,18-24 years old,Male,,94542,Working (self-employed),,Prefer not to say,Bachelor’s degree,Never Married,Asian,"Adventurous,Social,Relaxed",,,
2025-11-15 11:35:53,2025-11-15 11:40:44,IP Address,174.249.146.125,100,291,True,2025-11-15 11:40:45,R_7jAQzVH0zNeDV9T,,,,,37.9684,-122.2896,anonymous,EN,Once a week,"Starbucks,Peet’s Coffee,Local independent coffee shops",,3+ years,Less than once a month,Midday (10 a.m.–2 p.m.),"Iced coffee drinks,Blended drinks (Freeze, Frost etc.)",$5–$9,Drive-thru,5,5,5,4,3,5,Friendly customer service,,4,1,2,4,3,5,6,1,Yes,35-44 years old,Male,,94564,Working (self-employed),,"$100,000-$149,999",Bachelor’s degree,Married,Other,"Health-conscious,Social,Busy",1.0,2.0,2.0
2025-11-16 12:19:02,2025-11-16 12:20:49,IP Address,134.154.49.246,100,107,True,2025-11-16 12:20:50,R_1QDjzrLhVQ3seHq,,,,,37.8371,-122.2773,anonymous,EN,Once a week,"Starbucks,Local independent coffee shops",,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,18-24 years old,Female,,94542,Not working (looking for work),,Prefer not to say,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Never Married,Asian,"Health-conscious,Busy",,,
2025-11-17 13:30:39,2025-11-17 13:35:49,IP Address,98.35.113.43,100,309,True,2025-11-17 13:35:50,R_1BOXxVFqQkloTKb,,,,,37.7688,-122.262,anonymous,EN,Several times per week,"Dutch Bros Coffee,Starbucks",,6 months – 1 year,Several times per week,Evening (6 p.m.–10 p.m.),"Iced coffee drinks,Hot coffee drinks,Tea / Lemonade / Other non-coffee drinks","$5–$9,$10–$14",Walk-up window,5,5,3,4,5,5,Taste and quality of drinks,,5,,6,,,,,4,Yes,18-24 years old,Female,,94542,Not working (other),,Prefer not to say,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Never Married,Asian,Relaxed,4.0,3.0,1.0
2025-11-17 14:29:25,2025-11-17 14:30:33,IP Address,134.154.78.123,100,67,True,2025-11-17 14:30:33,R_3v1cw9CestN236G,,,,,37.7428,-122.1745,anonymous,EN,Several times per week,"Starbucks,Peet’s Coffee,Dunkin’",,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,18-24 years old,Male,,94542,Working (paid employee),,"Less than $25,000","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Never Married,Asian,Social,,,
2025-11-17 15:46:53,2025-11-17 15:48:53,IP Address,98.35.113.43,100,120,True,2025-11-17 15:48:53,R_5R1WYnEVKHk3JS1,,,,,37.7688,-122.262,anonymous,EN,Once a week,Starbucks,,I haven’t tried Dutch Bros yet,,,,,,,,,,,,,,,,,,,,,,,18-24 years old,Female,,94542,Not working (looking for work),,"$25,000-$49,999",Bachelor’s degree,Never Married,Asian,Busy,,,
